"filename", "language", "YAML", "Ignore", "JSON", "HTML", "Markdown", "JavaScript", "JavaScript JSX", "PostCSS", "comment", "blank", "total"
"c:\bakalaura_darba\blendio-electronjs\.prettierignore", "Ignore", 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\bakalaura_darba\blendio-electronjs\.prettierrc.yaml", "YAML", 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\bakalaura_darba\blendio-electronjs\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\bakalaura_darba\blendio-electronjs\dev-app-update.yml", "YAML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\bakalaura_darba\blendio-electronjs\electron-builder.yml", "YAML", 47, 0, 0, 0, 0, 0, 0, 0, 0, 1, 48
"c:\bakalaura_darba\blendio-electronjs\electron.vite.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 19, 0, 0, 0, 2, 21
"c:\bakalaura_darba\blendio-electronjs\eslint.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 30, 0, 0, 0, 2, 32
"c:\bakalaura_darba\blendio-electronjs\package.json", "JSON", 0, 0, 48, 0, 0, 0, 0, 0, 0, 1, 49
"c:\bakalaura_darba\blendio-electronjs\src\main\db\blenderRepoPathRepo.js", "JavaScript", 0, 0, 0, 0, 0, 57, 0, 0, 1, 6, 64
"c:\bakalaura_darba\blendio-electronjs\src\main\db\db.js", "JavaScript", 0, 0, 0, 0, 0, 78, 0, 0, 1, 6, 85
"c:\bakalaura_darba\blendio-electronjs\src\main\db\index.js", "JavaScript", 0, 0, 0, 0, 0, 12, 0, 0, 0, 2, 14
"c:\bakalaura_darba\blendio-electronjs\src\main\db\installedBlenderVersionRepo.js", "JavaScript", 0, 0, 0, 0, 0, 75, 0, 0, 1, 6, 82
"c:\bakalaura_darba\blendio-electronjs\src\main\db\launchArgumentRepo.js", "JavaScript", 0, 0, 0, 0, 0, 69, 0, 0, 1, 6, 76
"c:\bakalaura_darba\blendio-electronjs\src\main\db\projectFileRepo.js", "JavaScript", 0, 0, 0, 0, 0, 69, 0, 0, 1, 6, 76
"c:\bakalaura_darba\blendio-electronjs\src\main\db\pythonScriptRepo.js", "JavaScript", 0, 0, 0, 0, 0, 57, 0, 0, 1, 6, 64
"c:\bakalaura_darba\blendio-electronjs\src\main\index.js", "JavaScript", 0, 0, 0, 0, 0, 248, 0, 0, 29, 48, 325
"c:\bakalaura_darba\blendio-electronjs\src\main\ipc\blenderVersion\handlers.js", "JavaScript", 0, 0, 0, 0, 0, 373, 0, 0, 128, 14, 515
"c:\bakalaura_darba\blendio-electronjs\src\main\ipc\fileSystemUtility\handlers.js", "JavaScript", 0, 0, 0, 0, 0, 194, 0, 0, 99, 15, 308
"c:\bakalaura_darba\blendio-electronjs\src\main\ipc\index.js", "JavaScript", 0, 0, 0, 0, 0, 74, 0, 0, 0, 2, 76
"c:\bakalaura_darba\blendio-electronjs\src\main\ipc\launchArgument\handlers.js", "JavaScript", 0, 0, 0, 0, 0, 88, 0, 0, 37, 5, 130
"c:\bakalaura_darba\blendio-electronjs\src\main\ipc\projectFile\consts.js", "JavaScript", 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 3
